epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65883,0.45385,2.89997,0.93486,0.00333,1,0.07644,0.06205,0.41243,3.08067,0.79823,0,0,0
2,14.9782,0.50018,2.96952,0.94772,0.00333,1,0.08572,0.06574,0.39623,3.08155,0.79566,1.9604e-05,1.9604e-05,1.9604e-05
3,22.4421,0.45829,2.88638,0.85741,0.00333,1,0.10605,0.08147,0.36706,3.0859,0.78307,3.8416e-05,3.8416e-05,3.8416e-05
4,29.5797,0.44173,2.96728,0.90711,0.00333,1,0.12727,0.10207,0.32564,3.09237,0.77804,5.6436e-05,5.6436e-05,5.6436e-05
5,37.1128,0.44769,2.8487,0.93644,0.00333,1,0.23628,0.19597,0.30427,3.09403,0.77266,7.3664e-05,7.3664e-05,7.3664e-05
6,44.2623,0.45775,2.8414,0.94993,0.00333,1,0.43203,0.36012,0.28879,3.0995,0.76968,9.01e-05,9.01e-05,9.01e-05
7,51.669,0.2837,2.74052,0.82552,0.00333,1,0.60125,0.51249,0.28089,3.1049,0.76413,0.000105744,0.000105744,0.000105744
8,58.9319,0.28145,2.78167,0.88592,0.00333,1,0.72795,0.68318,0.24728,3.08822,0.75766,0.000120596,0.000120596,0.000120596
9,66.2625,0.3219,2.79705,0.89931,0.00333,1,0.82833,0.79295,0.21141,3.07575,0.75306,0.000134656,0.000134656,0.000134656
10,73.5258,0.26901,2.48956,0.8194,0.00333,1,0.87,0.87,0.16463,3.0613,0.7483,0.000147924,0.000147924,0.000147924
11,80.7255,0.25296,2.50005,0.80682,0.00333,1,0.995,0.995,0.15026,3.0584,0.74719,0.0001604,0.0001604,0.0001604
12,88.0345,0.27491,2.38525,0.83374,0.00333,1,0.995,0.995,0.17446,3.05558,0.74827,0.000172084,0.000172084,0.000172084
13,95.2295,0.25843,2.55364,0.91755,0.00333,1,0.995,0.995,0.21081,3.07068,0.74878,0.000182976,0.000182976,0.000182976
14,102.344,0.28202,2.22487,0.85217,0.00333,1,0.995,0.995,0.21949,3.06401,0.74823,0.000193076,0.000193076,0.000193076
15,109.52,0.30159,2.1585,0.84699,0.00333,1,0.995,0.93254,0.25259,3.06744,0.74974,0.000202384,0.000202384,0.000202384
16,116.805,0.27774,2.01527,0.84075,0.00333,1,0.995,0.93254,0.24925,3.06953,0.75114,0.0002109,0.0002109,0.0002109
17,123.951,0.29397,2.01953,0.80662,0.00333,1,0.995,0.96378,0.23278,3.07738,0.74896,0.000218624,0.000218624,0.000218624
18,131.06,0.23628,1.86518,0.82485,0.00333,1,0.995,0.96378,0.23278,3.07738,0.74896,0.000225556,0.000225556,0.000225556
19,138.472,0.35256,1.96095,0.78279,0.00333,1,0.995,0.995,0.20553,3.06454,0.74623,0.000231696,0.000231696,0.000231696
20,145.634,0.27956,1.8412,0.78326,0.00333,1,0.995,0.995,0.20553,3.06454,0.74623,0.000237044,0.000237044,0.000237044
21,152.899,0.27608,1.81857,0.8618,0.00333,1,0.995,0.995,0.21592,3.05736,0.74793,0.0002416,0.0002416,0.0002416
22,160.213,0.25282,1.71359,0.84732,0.00333,1,0.995,0.995,0.21592,3.05736,0.74793,0.000245364,0.000245364,0.000245364
23,167.69,0.30113,1.75279,0.85529,0.00333,1,0.995,0.995,0.21623,3.05136,0.74743,0.000248336,0.000248336,0.000248336
24,174.85,0.25293,1.55247,0.81558,0.00333,1,0.995,0.995,0.21623,3.05136,0.74743,0.000250516,0.000250516,0.000250516
25,182.002,0.29268,1.57709,0.81274,0.00333,1,0.995,0.995,0.20656,3.03346,0.74695,0.000251904,0.000251904,0.000251904
26,189.326,0.23908,1.4299,0.84337,0.00333,1,0.995,0.995,0.20656,3.03346,0.74695,0.0002525,0.0002525,0.0002525
27,196.637,0.26212,1.48988,0.84871,0.00333,1,0.995,0.995,0.19013,3.02559,0.74853,0.000252304,0.000252304,0.000252304
28,203.788,0.22703,1.40552,0.81632,0.00333,1,0.995,0.995,0.19013,3.02559,0.74853,0.000251316,0.000251316,0.000251316
29,211.015,0.27358,1.40423,0.83772,0.00333,1,0.995,0.995,0.19934,3.02402,0.75701,0.000249536,0.000249536,0.000249536
30,218.193,0.24636,1.33754,0.81957,0.00333,1,0.995,0.995,0.19934,3.02402,0.75701,0.000246964,0.000246964,0.000246964
31,225.324,0.27668,1.42852,0.84953,0.00333,1,0.995,0.995,0.2144,3.01857,0.7567,0.0002436,0.0002436,0.0002436
32,232.4,0.28111,1.22201,0.82016,0.00333,1,0.995,0.995,0.2144,3.01857,0.7567,0.000239444,0.000239444,0.000239444
33,239.675,0.31937,1.23121,0.83102,0.00333,1,0.995,0.995,0.21006,3.00333,0.75273,0.000234496,0.000234496,0.000234496
34,246.972,0.31536,1.21724,0.84447,0.00333,1,0.995,0.995,0.21006,3.00333,0.75273,0.000228756,0.000228756,0.000228756
35,254.249,0.24403,1.15181,0.80101,0.00333,1,0.995,0.995,0.2085,2.97319,0.75249,0.000222224,0.000222224,0.000222224
36,261.568,0.29501,1.17444,0.8396,0.00333,1,0.995,0.995,0.2085,2.97319,0.75249,0.0002149,0.0002149,0.0002149
37,268.691,0.23351,1.15661,0.85522,0.00333,1,0.995,0.995,0.20351,2.96802,0.7482,0.000206784,0.000206784,0.000206784
38,275.794,0.32922,1.08169,0.84532,0.00333,1,0.995,0.995,0.20351,2.96802,0.7482,0.000197876,0.000197876,0.000197876
39,283.18,0.24076,1.1309,0.78778,0.00333,1,0.995,0.97003,0.18871,2.9507,0.74529,0.000188176,0.000188176,0.000188176
40,290.42,0.32456,1.17626,0.81656,0.00333,1,0.995,0.97003,0.18871,2.9507,0.74529,0.000177684,0.000177684,0.000177684
41,297.501,0.2645,1.26629,0.77043,0.00333,1,0.995,0.97003,0.17971,2.94313,0.74448,0.0001664,0.0001664,0.0001664
42,304.708,0.19026,1.19021,0.83694,0.00333,1,0.995,0.97003,0.17971,2.94313,0.74448,0.000154324,0.000154324,0.000154324
43,311.926,0.20418,1.22689,0.78977,0.00333,1,0.995,0.97003,0.17679,2.93958,0.74199,0.000141456,0.000141456,0.000141456
44,319.053,0.18616,1.22005,0.84864,0.00333,1,0.995,0.97003,0.17679,2.93958,0.74199,0.000127796,0.000127796,0.000127796
45,326.248,0.19808,1.22282,0.74877,0.00333,1,0.995,0.97003,0.17513,2.93508,0.74127,0.000113344,0.000113344,0.000113344
46,333.333,0.18232,1.15323,0.73502,0.00333,1,0.995,0.97003,0.17513,2.93508,0.74127,9.81e-05,9.81e-05,9.81e-05
47,340.456,0.18346,1.17995,0.80256,0.00333,1,0.995,0.97003,0.17366,2.92185,0.74329,8.2064e-05,8.2064e-05,8.2064e-05
48,347.555,0.19657,1.14263,0.84092,0.00333,1,0.995,0.97003,0.17366,2.92185,0.74329,6.5236e-05,6.5236e-05,6.5236e-05
49,354.778,0.14515,1.13155,0.8006,0.00333,1,0.995,0.97003,0.16423,2.90937,0.74365,4.7616e-05,4.7616e-05,4.7616e-05
50,362.011,0.20693,1.12834,0.77697,0.00333,1,0.995,0.97003,0.16423,2.90937,0.74365,2.9204e-05,2.9204e-05,2.9204e-05
