epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.286,1.94229,4.34603,1.77399,0.02379,0.26179,0.05771,0.03459,1.7425,4.41601,1.60051,0.000202851,0.000202851,0.000202851
2,986.53,1.93448,3.67698,1.70278,0.94392,0.04032,0.07956,0.04607,1.88552,4.20813,1.71278,0.000403043,0.000403043,0.000403043
3,1482.23,2.00541,3.12915,1.75527,0.91138,0.07146,0.09874,0.06026,1.88762,3.54384,1.78716,0.000594985,0.000594985,0.000594985
4,1896.19,1.92422,2.82815,1.7223,0.67819,0.12256,0.12245,0.07178,1.89188,2.96687,1.75254,0.000587875,0.000587875,0.000587875
5,2289.61,1.88569,2.64357,1.70293,0.75678,0.14008,0.14666,0.08718,1.85821,2.74738,1.78225,0.0005755,0.0005755,0.0005755
6,2688.51,1.83301,2.48417,1.66821,0.75356,0.17154,0.18253,0.10708,1.81439,2.55209,1.71807,0.000563125,0.000563125,0.000563125
7,3077.85,1.85062,2.45977,1.70336,0.67993,0.18453,0.2079,0.11415,1.8633,2.445,1.76586,0.00055075,0.00055075,0.00055075
8,3457.51,1.7651,2.34284,1.66984,0.67909,0.25548,0.23756,0.14043,1.77844,2.52886,1.7344,0.000538375,0.000538375,0.000538375
9,3834.33,1.77406,2.32102,1.65173,0.71707,0.2672,0.26401,0.15929,1.75191,2.49798,1.68657,0.000526,0.000526,0.000526
10,4206.95,1.71158,2.19607,1.58855,0.79793,0.27884,0.30904,0.19576,1.6952,2.23466,1.64811,0.000513625,0.000513625,0.000513625
11,4603,1.71703,2.15632,1.59288,0.75614,0.32681,0.33952,0.21119,1.6989,2.1418,1.66106,0.00050125,0.00050125,0.00050125
12,4984.61,1.68736,2.13011,1.58645,0.73585,0.33755,0.33774,0.20387,1.68698,2.12852,1.63372,0.000488875,0.000488875,0.000488875
13,5364.74,1.69489,2.09585,1.56054,0.72354,0.30642,0.31427,0.1906,1.6722,2.04032,1.55343,0.0004765,0.0004765,0.0004765
14,5737.47,1.69388,2.09475,1.57025,0.78129,0.33154,0.36578,0.23375,1.61177,1.93606,1.56101,0.000464125,0.000464125,0.000464125
15,6117.6,1.64798,2.05263,1.57141,0.80924,0.34705,0.38021,0.24775,1.60618,1.94496,1.55022,0.00045175,0.00045175,0.00045175
16,6510.48,1.64285,1.98956,1.53108,0.77445,0.34157,0.38011,0.24343,1.58195,1.91153,1.5211,0.000439375,0.000439375,0.000439375
17,6886.85,1.66016,2.0011,1.55747,0.83552,0.33156,0.36451,0.23427,1.57321,1.92395,1.50698,0.000427,0.000427,0.000427
18,7259.31,1.61468,1.92267,1.51847,0.83859,0.35368,0.39905,0.2529,1.56413,1.8351,1.50236,0.000414625,0.000414625,0.000414625
19,7636.64,1.60296,1.91176,1.50416,0.73831,0.37439,0.4114,0.26447,1.4986,1.75817,1.48236,0.00040225,0.00040225,0.00040225
20,8019.68,1.57321,1.84734,1.4931,0.78555,0.37495,0.42216,0.27666,1.49523,1.71357,1.46909,0.000389875,0.000389875,0.000389875
