epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.384,1.94229,4.34603,1.77399,0.02379,0.26179,0.05771,0.03459,1.7425,4.41601,1.60051,0.000202851,0.000202851,0.000202851
2,933.854,1.93448,3.67698,1.70278,0.94392,0.04032,0.07956,0.04607,1.88552,4.20813,1.71278,0.000403043,0.000403043,0.000403043
3,1376.83,2.00541,3.12915,1.75527,0.91138,0.07146,0.09874,0.06026,1.88762,3.54384,1.78716,0.000594985,0.000594985,0.000594985
4,1893.16,1.92422,2.82815,1.7223,0.67819,0.12256,0.12245,0.07178,1.89188,2.96687,1.75254,0.000587875,0.000587875,0.000587875
5,2344.7,1.88569,2.64357,1.70293,0.75678,0.14008,0.14666,0.08718,1.85821,2.74738,1.78225,0.0005755,0.0005755,0.0005755
6,2809.97,1.83301,2.48417,1.66821,0.75356,0.17154,0.18253,0.10708,1.81439,2.55209,1.71807,0.000563125,0.000563125,0.000563125
7,3218.02,1.85062,2.45977,1.70336,0.67993,0.18453,0.2079,0.11415,1.8633,2.445,1.76586,0.00055075,0.00055075,0.00055075
8,3619.92,1.7651,2.34284,1.66984,0.67909,0.25548,0.23756,0.14043,1.77844,2.52886,1.7344,0.000538375,0.000538375,0.000538375
9,3985.8,1.77406,2.32102,1.65173,0.71707,0.2672,0.26401,0.15929,1.75191,2.49798,1.68657,0.000526,0.000526,0.000526
10,4348.18,1.71158,2.19607,1.58855,0.79793,0.27884,0.30904,0.19576,1.6952,2.23466,1.64811,0.000513625,0.000513625,0.000513625
11,4721.63,1.71703,2.15632,1.59288,0.75614,0.32681,0.33952,0.21119,1.6989,2.1418,1.66106,0.00050125,0.00050125,0.00050125
12,5096.13,1.68736,2.13011,1.58645,0.73585,0.33755,0.33774,0.20387,1.68698,2.12852,1.63372,0.000488875,0.000488875,0.000488875
13,5445.37,1.69489,2.09585,1.56054,0.72354,0.30642,0.31427,0.1906,1.6722,2.04032,1.55343,0.0004765,0.0004765,0.0004765
14,5806.76,1.69388,2.09475,1.57025,0.78129,0.33154,0.36578,0.23375,1.61177,1.93606,1.56101,0.000464125,0.000464125,0.000464125
15,6172.23,1.64798,2.05263,1.57141,0.80924,0.34705,0.38021,0.24775,1.60618,1.94496,1.55022,0.00045175,0.00045175,0.00045175
16,6545.68,1.64285,1.98956,1.53108,0.77445,0.34157,0.38011,0.24343,1.58195,1.91153,1.5211,0.000439375,0.000439375,0.000439375
17,6924.62,1.66016,2.0011,1.55747,0.83552,0.33156,0.36451,0.23427,1.57321,1.92395,1.50698,0.000427,0.000427,0.000427
18,7276.22,1.61468,1.92267,1.51847,0.83859,0.35368,0.39905,0.2529,1.56413,1.8351,1.50236,0.000414625,0.000414625,0.000414625
19,7633.85,1.60296,1.91176,1.50416,0.73831,0.37439,0.4114,0.26447,1.4986,1.75817,1.48236,0.00040225,0.00040225,0.00040225
20,7992.45,1.57321,1.84734,1.4931,0.78555,0.37495,0.42216,0.27666,1.49523,1.71357,1.46909,0.000389875,0.000389875,0.000389875
21,8347.23,1.56867,1.83647,1.48388,0.74335,0.38305,0.42699,0.28305,1.51665,1.73528,1.45834,0.0003775,0.0003775,0.0003775
22,8685.94,1.55056,1.8163,1.48207,0.77488,0.39237,0.45575,0.29639,1.46888,1.64887,1.45005,0.000365125,0.000365125,0.000365125
23,9015.77,1.54205,1.80074,1.47087,0.81845,0.39544,0.45972,0.29748,1.4803,1.64485,1.43277,0.00035275,0.00035275,0.00035275
24,9353.5,1.55576,1.76635,1.46419,0.73923,0.43736,0.48861,0.32567,1.43887,1.56558,1.45063,0.000340375,0.000340375,0.000340375
25,9692.86,1.56991,1.74571,1.48098,0.84878,0.43623,0.55315,0.33938,1.4526,1.56315,1.43693,0.000328,0.000328,0.000328
26,10031.1,1.51183,1.71573,1.4334,0.76564,0.41876,0.54289,0.34621,1.41053,1.54949,1.41025,0.000315625,0.000315625,0.000315625
27,10369.5,1.49961,1.68254,1.44424,0.86781,0.41194,0.53238,0.35138,1.40609,1.52695,1.405,0.00030325,0.00030325,0.00030325
28,10688.6,1.51249,1.67022,1.44665,0.77109,0.456,0.54308,0.35881,1.39258,1.45158,1.37774,0.000290875,0.000290875,0.000290875
29,11017.9,1.47936,1.65814,1.42545,0.81518,0.45298,0.60301,0.39882,1.35785,1.43759,1.37266,0.0002785,0.0002785,0.0002785
30,11340.2,1.46749,1.59081,1.42369,0.71671,0.49044,0.56277,0.37211,1.3619,1.41456,1.35091,0.000266125,0.000266125,0.000266125
31,11666.8,1.48106,1.64707,1.43154,0.73624,0.47835,0.57647,0.37867,1.32027,1.38801,1.34401,0.00025375,0.00025375,0.00025375
32,12002.7,1.4385,1.57416,1.39451,0.70551,0.51976,0.58056,0.39209,1.30476,1.36676,1.33508,0.000241375,0.000241375,0.000241375
33,12339.4,1.39446,1.52306,1.37797,0.75205,0.49956,0.59872,0.39433,1.32771,1.36161,1.33745,0.000229,0.000229,0.000229
34,12675.1,1.43678,1.53456,1.38734,0.77925,0.51849,0.65876,0.44779,1.29629,1.29376,1.3234,0.000216625,0.000216625,0.000216625
35,13011.6,1.39005,1.49148,1.36543,0.74116,0.51031,0.6287,0.41765,1.29965,1.3175,1.33382,0.00020425,0.00020425,0.00020425
36,13336.5,1.39079,1.48477,1.36229,0.75104,0.53625,0.64818,0.43595,1.28662,1.28326,1.29763,0.000191875,0.000191875,0.000191875
37,13665,1.39233,1.49226,1.36274,0.78134,0.56311,0.66767,0.45319,1.26789,1.28491,1.28168,0.0001795,0.0001795,0.0001795
38,13987.7,1.3804,1.48263,1.35815,0.81237,0.5449,0.67263,0.45765,1.2178,1.20491,1.27032,0.000167125,0.000167125,0.000167125
39,14314.7,1.35954,1.42648,1.3496,0.85171,0.51982,0.66823,0.46893,1.21566,1.22703,1.26842,0.00015475,0.00015475,0.00015475
40,14642.8,1.36649,1.43957,1.34882,0.89765,0.51761,0.67061,0.47606,1.19953,1.16514,1.26117,0.000142375,0.000142375,0.000142375
41,14960.9,1.39064,1.55451,1.39538,0.84902,0.55297,0.71651,0.48617,1.23795,1.23853,1.29022,0.00013,0.00013,0.00013
42,15285.9,1.32589,1.44796,1.34305,0.90261,0.49815,0.67776,0.45591,1.25067,1.2429,1.2745,0.000117625,0.000117625,0.000117625
43,15617,1.31773,1.4073,1.3383,0.81267,0.55624,0.70618,0.48301,1.19406,1.21279,1.25538,0.00010525,0.00010525,0.00010525
44,15943.3,1.29372,1.38772,1.33938,0.81239,0.55743,0.71603,0.4987,1.18117,1.17143,1.23582,9.2875e-05,9.2875e-05,9.2875e-05
45,16270.2,1.29925,1.36611,1.3105,0.82867,0.56833,0.72779,0.50513,1.15672,1.16158,1.22148,8.05e-05,8.05e-05,8.05e-05
46,16605.5,1.26805,1.32664,1.30187,0.8436,0.57206,0.74734,0.52803,1.13795,1.11801,1.21243,6.8125e-05,6.8125e-05,6.8125e-05
47,16938.7,1.23823,1.29942,1.29179,0.85791,0.57384,0.74723,0.53788,1.12777,1.09429,1.20282,5.575e-05,5.575e-05,5.575e-05
48,17307.8,1.24116,1.28398,1.29199,0.85418,0.57949,0.75519,0.54562,1.11938,1.08308,1.19906,4.3375e-05,4.3375e-05,4.3375e-05
49,17687,1.2381,1.26391,1.26749,0.8241,0.58471,0.76225,0.55016,1.11089,1.07817,1.19165,3.1e-05,3.1e-05,3.1e-05
50,18041,1.22963,1.28234,1.27526,0.83543,0.59446,0.77055,0.55621,1.1106,1.07877,1.18966,1.8625e-05,1.8625e-05,1.8625e-05
